keyword,status
Al Green,Waiting
Alek Wek,Waiting
Alvin Ailey,Waiting
André Raphel Smith,Waiting
Angela Bassett,Waiting
Anthony Braxton,Waiting
Aretha Franklin,Waiting
Arsenio Hall,Waiting
Arthur Mitchell,Waiting
BB King,Waiting
Bernard Shaw,Waiting
Beverly Johnson,Waiting
Bill Cosby,Waiting
Bill Duke,Waiting
Bill T Jones,Waiting
Billie Holiday,Waiting
Brenda Blackmon,Waiting
Bryant Gumbel,Waiting
Carl T Rowan,Waiting
Carmen de Lavallade,Waiting
Carol Simpson,Waiting
Cathy Hughes,Waiting
Charlamagne tha God,Waiting
Charlayne Hunter-Gault,Waiting
Charles Burnett,Waiting
Charles Mingus,Waiting
Chris Rock,Waiting
Cicely Tyson,Waiting
Clarence Page,Waiting
Clinton Turner Davis,Waiting
Cree Summer,Waiting
Debbie Allen,Waiting
Deborah Roberts,Waiting
Denzel Washington,Waiting
DeWayne Wickham,Waiting
Diana Ross,Waiting
Dick Gregory,Waiting
Dizzy Gillespie,Waiting
Don Cheadle,Waiting
Donald McKayle,Waiting
Donnie Simpson,Waiting
Donyale Luna,Waiting
Dorian Harewood,Waiting
Dorothy Butler Gilliam,Waiting
Douglas Turner Ward,Waiting
Dr Cornel West,Waiting
Duke Ellington,Waiting
Ed Bradley,Waiting
Eddie Murphy,Waiting
Ella Fitzgerald,Waiting
Esther Rolle,Waiting
Ethel Payne,Waiting
Etta James,Waiting
Everett Lee,Waiting
Flip Wilson,Waiting
Florence Price,Waiting
Frankie Crocker,Waiting
Fred Hickman,Waiting
Garth Fagan,Waiting
Geoffrey Holder,Waiting
George C Wolfe,Waiting
Gladys Knight,Waiting
Gordon Parks,Waiting
Grace Jones,Waiting
Gwen Ifill,Waiting
Harold Scott,Waiting
Harry Belafonte,Waiting
Hazel Garland,Waiting
Henry Lewis,Waiting
Herbie Hancock,Waiting
Hinton Battle,Waiting
Iman,Waiting
Ira Madison III,Waiting
Isaiah Jackson,Waiting
James Brown,Waiting
James DePreist,Waiting
James Earl Jones,Waiting
Janet Collins,Waiting
Jemele Hill,Waiting
Jeri Lynne Johnson,Waiting
Joe Madison,Waiting
John Coltrane,Waiting
John Singleton,Waiting
Judith Jamison,Waiting
Julie Dash,Waiting
Karen Hunter,Waiting
Katherine Dunham,Waiting
Keith David,Waiting
Kevin Michael Richardson,Waiting
Kid Fury,Waiting
Laurence Fishburne,Waiting
Lena Horne,Waiting
Leroy Jenkins,Waiting
Lester Holt,Waiting
Lloyd Richards,Waiting
Louis Gossett Jr,Waiting
Mal Goode,Waiting
Marc Lamont Hill,Waiting
Marion McClinton,Waiting
Marsha Warfield,Waiting
Marvin Gaye,Waiting
Max Robinson,Waiting
Melvin Lindsey,Waiting
Melvin Van Peebles,Waiting
Michael Baisden,Waiting
Michael Morgan,Waiting
Michael Strahan,Waiting
Miles Davis,Waiting
Moms Mabley,Waiting
Montel Williams,Waiting
Morgan Freeman,Waiting
Mounia,Waiting
Naomi Sims,Waiting
Nat King Cole,Waiting
Nina Simone,Waiting
Olly Wilson,Waiting
Oprah Winfrey,Waiting
Ornette Coleman,Waiting
Ossie Davis,Waiting
Pam Grier,Waiting
Pam Oliver,Waiting
Pat Cleveland,Waiting
Paul Freeman,Waiting
Paul Mooney,Waiting
Pearl Primus,Waiting
Phil LaMarr,Waiting
Phoebe Robinson,Waiting
Quincy Jones,Waiting
Ray Charles,Waiting
Redd Foxx,Waiting
Richard Pryor,Waiting
Robin Roberts,Waiting
Ruby Dee,Waiting
Sam Cooke,Waiting
Samuel L Jackson,Waiting
Sarah Vaughan,Waiting
Scott Joplin,Waiting
Seret Scott,Waiting
Sidney Poitier,Waiting
Simeon Booker,Waiting
Spike Lee,Waiting
Stan Lathan,Waiting
Star Jones,Waiting
Steve Harvey,Waiting
Stevie Wonder,Waiting
Talley Beatty,Waiting
Tania León,Waiting
Tavis Smiley,Waiting
Thelonious Monk,Waiting
Thomas Wilkins,Waiting
Tom Joyner,Waiting
Toukie Smith,Waiting
Tyra Banks,Waiting
Veronica Webb,Waiting
Vinnette Justine Carroll,Waiting
Wanda Sykes,Waiting
Waris Dirie,Waiting
Wendy Williams,Waiting
Whitney Houston,Waiting
Whoopi Goldberg,Waiting
William Grant Still,Waiting
Woodie King Jr,Waiting
