keyword,status
Nelson Mandela,Waiting
Malcolm X,Waiting
Martin Luther King Jr,Waiting
Kwame Nkrumah,Waiting
Marcus Garvey,Waiting
Haile Selassie,Waiting
Patrice Lumumba,Waiting
Steve Biko,Waiting
Wangari Maathai,Waiting
Desmond Tutu,Waiting
Fela Kuti,Waiting
Julius Nyerere,Waiting
W E B Du Bois,Waiting
Robert Mugabe,Waiting
Rosa Parks,Waiting
Angela Davis,Waiting
Thomas Sankara,Waiting
Miriam Makeba,Waiting
Paul Robeson,Waiting
Zora Neale Hurston,Waiting
Shirley Chisholm,Waiting
Chinua Achebe,Waiting
Langston Hughes,Waiting
Muhammad Ali,Waiting
Winnie Mandela,Waiting
Amílcar Cabral,Waiting
Leopold Sedar Senghor,Waiting
James Baldwin,Waiting
Aimé Césaire,Waiting
Cheikh Anta Diop,Waiting
Duke Ellington,Waiting
John Coltrane,Waiting
Louis Armstrong,Waiting
Ella Fitzgerald,Waiting
Nina Simone,Waiting
Billie Holiday,Waiting
Maya Angelou,Waiting
Richard Wright,Waiting
Sojourner Truth,Waiting
Ida B Wells,Waiting
Fannie Lou Hamer,Waiting
Toussaint Louverture,Waiting
Stokely Carmichael,Waiting
Kwame Ture,Waiting
Thelonious Monk,Waiting
Bessie Smith,Waiting
Bob Marley,Waiting
Peter Tosh,Waiting
Josephine Baker,Waiting
Youssou NDour,Waiting
Salif Keita,Waiting
Alpha Blondy,Waiting
Lucky Dube,Waiting
Sonny Rollins,Waiting
Toni Morrison,Waiting
Claude McKay,Waiting
Wole Soyinka,Waiting
JeanMichel Basquiat,Waiting
Ousmane Sembène,Waiting
Maliqalim Basir,Waiting
Senghor Sardar,Waiting
Miles Davis,Waiting
Fats Waller,Waiting
Horace Silver,Waiting
Gwendolyn Brooks,Waiting
Ralph Ellison,Waiting
Octavia Butler,Waiting
Ngugi wa Thiongo,Waiting
Wangari Maathai,Waiting
James Weldon Johnson,Waiting
Alvin Ailey,Waiting
Hugh Masekela,Waiting
Hugo Chavez,Waiting
Medgar Evers,Waiting
Mumia Abu Jamal,Waiting
Moses Maimonides,Waiting
John Henrik Clarke,Waiting
Jacob Zuma,Waiting
Thabo Mbeki,Waiting
Kofi Annan,Waiting
Muhammad Ahmad,Waiting
Albert John Lutuli,Waiting
Sekou Touré,Waiting
Léopold Senghor,Waiting
Jomo Kenyatta,Waiting
Oliver Tambo,Waiting
João Lourenço,Waiting
Stephen Wiltshire,Waiting
Ernie Davis,Waiting
Harriet Tubman,Waiting
Frederick Douglass,Waiting
Booker T Washington,Waiting
Hannibal Barca,Waiting
Dred Scott,Waiting
Crispus Attucks,Waiting
Marcus Samuelsson,Waiting
Dikembe Mutombo,Waiting
Ben Carson,Waiting
George Washington Carver,Waiting
Imhotep,Waiting
Zumbi dos Palmares,Waiting
King Shaka Zulu,Waiting
Jean Baptiste Point du Sable,Waiting
Matthew Henson,Waiting
Idris Elba,Waiting
Sidney Poitier,Waiting
Cicely Tyson,Waiting
Denzel Washington,Waiting
Samuel L Jackson,Waiting
Morgan Freeman,Waiting
Laurence Fishburne,Waiting
Eartha Kitt,Waiting
Hattie McDaniel,Waiting
Spike Lee,Waiting
Tyler Perry,Waiting
Quincy Jones,Waiting
Prince,Waiting
Whitney Houston,Waiting
Michael Jackson,Waiting
James Brown,Waiting
Marvin Gaye,Waiting
Stevie Wonder,Waiting
Aretha Franklin,Waiting
Diana Ross,Waiting
Luther Vandross,Waiting
Bobby Womack,Waiting
Patti LaBelle,Waiting
Eddie Murphy,Waiting
Richard Pryor,Waiting
Chris Rock,Waiting
Dave Chappelle,Waiting
Mo Farah,Waiting
Zinedine Zidane,Waiting
Samuel Eto'o,Waiting
Didier Drogba,Waiting
George Weah,Waiting
Michael Jordan,Waiting
Kareem AbdulJabbar,Waiting
Floyd Mayweather,Waiting
Wilma Rudolph,Waiting
Serena Williams,Waiting
Venus Williams,Waiting
Jackie Robinson,Waiting
Arthur Ashe,Waiting
Michael Johnson,Waiting
Usain Bolt,Waiting
Carl Lewis,Waiting
Jesse Owens,Waiting
Florence GriffithJoyner,Waiting
Bill Russell,Waiting
Muhammad Ali,Waiting
Pelé,Waiting
Diego Maradona,Waiting
Patrick Vieira,Waiting
Thierry Henry,Waiting
Roger Milla,Waiting
David Oyetokunbo Oyelowo,Waiting
Lupita Nyongo,Waiting
Letitia Wright,Waiting
John Boyega,Waiting
Chiwetel Ejiofor,Waiting
Daniel Kaluuya,Waiting
Djimon Hounsou,Waiting
Danai Gurira,Waiting
Nnamdi Azikiwe,Waiting
Samora Machel,Waiting
Kofi Annan,Waiting
Walter Sisulu,Waiting
Hassan Gouled Aptidon,Waiting
Oliver Tambo,Waiting
Albertina Sisulu,Waiting
Ralph Abernathy,Waiting
A Philip Randolph,Waiting
Ellen Johnson Sirleaf,Waiting
Mwalimu Julius Nyerere,Waiting
Sekou Touré,Waiting
Léon Mba,Waiting
Dorothy Height,Waiting
Fidel Castro Odinga,Waiting
Cheikh Anta Diop,Waiting
Mamadou Dia,Waiting
Thomas Mboya,Waiting
Eduardo Mondlane,Waiting
Ali Hassan Mwinyi,Waiting
Meles Zenawi,Waiting
Ruth First,Waiting
Muddy Waters,Waiting
John Lee Hooker,Waiting
Fats Domino,Waiting
Mahalia Jackson,Waiting
Lionel Richie,Waiting
Sam Cooke,Waiting
Marley Marl,Waiting
Thelonious Monk,Waiting
Gil Scott Heron,Waiting
Diana Ross,Waiting
Josephine Baker,Waiting
Chaka Khan,Waiting
Sarah Vaughan,Waiting
Nat King Cole,Waiting
Eddie Palmieri,Waiting
Barry White,Waiting
Bobby Womack,Waiting
Tupac Shakur,Waiting
Ella Andall,Waiting
Carmen McRae,Waiting
Isaac Hayes,Waiting
Smokey Robinson,Waiting
Luther Vandross,Waiting
Tina Turner,Waiting
Prince,Waiting
Chick Corea,Waiting
Ladysmith Black Mambazo,Waiting
Octavia Butler,Waiting
Claude Ake,Waiting
Mariama Ba,Waiting
Chinweizu Ibekwe,Waiting
George Padmore,Waiting
Ken Saro Wiwa,Waiting
Dambudzo Marechera,Waiting
Wanda Coleman,Waiting
Alain Locke,Waiting
Ellen Kuzwayo,Waiting
Yambo Ouologuem,Waiting
Christopher Okigbo,Waiting
Margaret Walker,Waiting
Charles W Chesnutt,Waiting
Buchi Emecheta,Waiting
Lorraine Hansberry,Waiting
Jean Toomer,Waiting
Leslie Marmon Silko,Waiting
Gordon Parks,Waiting
Walter Mosley,Waiting
Dennis Brutus,Waiting
Doris Lessing,Waiting
Carl Weathers,Waiting
Magic Johnson,Waiting
Shaquille ONeal,Waiting
Mike Tyson,Waiting
Usain Bolt,Waiting
Emile Griffith,Waiting
Michael Johnson,Waiting
Wilfred Benitez,Waiting
Wilt Chamberlain,Waiting
Eusebio,Waiting
Edson Arantes do Nascimento Pele,Waiting
Hakeem Olajuwon,Waiting
Roberto Clemente,Waiting
Jack Johnson,Waiting
Patrick Ewing,Waiting
Donovan Bailey,Waiting
George Foreman,Waiting
Althea Gibson,Waiting
Bill Russell,Waiting
Pam Grier,Waiting
Lou Gossett Jr,Waiting
James Baldwin,Waiting
Oprah Winfrey,Waiting
Whoopi Goldberg,Waiting
Isaac Julien,Waiting
Danny Glover,Waiting
Sidney Poitier,Waiting
Diahann Carroll,Waiting
Harry Lennix,Waiting
